ABC11	ABC-Terminologie des VBS	Terminologie NBC du DDPS	Terminologia NBC del DDPS	ABC Military Terminology DDPS
ABK06	Übersetzungsdatei der schweizerischen Bundesverwaltung (1991-2004, frühere Datenbank ALEXIS)	Fichier collectif des traducteurs de l'administration fédérale suisse (1991 - 2004, ALEXIS)	File di traduzione dell'Amministrazione federale (1991-2004, vecchia banca dati ALEXIS)	Translators of the Federal Administration (File ALEXIS, 1991-2004)
ABR17	Abkürzungen der Titel der Bundeserlasse	Abréviations des titres des actes législatifs fédéraux	Abbreviazioni dei titoli degli atti legislativi federali	EN: Abkürzungen der Titel der Bundeserlasse
ABR89	Abkürzungen der Dienststellen der schweizerischen Bundesverwaltung und weitere schweizerische Abkürzungen	Abréviations des services de l'Administration fédérale suisse et autres abréviations suisses	Abbreviazioni dei servizi dell'Amministrazione federale svizzera e altre abbreviazioni svizzere	Abbreviations of services in the Swiss Federal Administration and other Swiss abbreviations
ABR96	Abkürzungen des Bundesgerichts für Bundeserlasse [BK]	Abréviations du Tribunal fédéral pour les actes législatifs fédéraux [ChF]	Abbreviazioni del Tribunale federale relative ad atti legislativi federali [CaF].	EN: Abkürzungen des Bundesgerichts für Bundeserlasse [BK]
ABR99	Abkürzungen der Dienststellen der schweizerischen Bundesverwaltung und weitere schweizerische Abkürzungen	Abréviations des services de l'Administration fédérale suisse et autres abréviations suisses	Abbreviazioni dei servizi dell'Amministrazione federale svizzera e altre abbreviazioni svizzere.	EN: Abkürzungen der Dienststellen der schweizerischen Bundesverwaltung und weitere schweizerische Abkürzungen
ADF03	Bezeichnungen der Organisationseinheiten der Bundesverwaltung	Dénominations des unités organisationnelles de l'administration fédérale	Denominazioni delle unità organizzative dell'Amministrazione federale	Names of organisational units of the Federal Administration
ADF15	Bezeichnungen der Organisationseinheiten der Bundesverwaltung	Dénominations des unités organisationnelles de l'administration fédérale	Denominazioni delle unità organizzative dell'Amministrazione federale	Names of organisational units of the Federal Administration
ADF89v	Frühere Bezeichnungen der Organisationseinheiten der Bundesverwaltung	Anciennes dénominations des unités organisationnelles de l'administration fédérale	Denominazioni precedenti delle unità organizzative dell'Amministrazione federale	Former names of organisational units of the Federal Administration
ADS95	Drohnen-Terminologie	Terminologie des drones	Terminologia dei ricognitori telecomandati	EN: Drohnen-Terminologie
AHV17	Terminologie der AHV	Terminologie de l'AVS	Terminologia dell'AVS	Terminology of the OASI
AIR01	Terminologie der Luftreinhaltung (BAFU)	Terminologie de la protection de l'air (OFEV)	Terminologia dell'inquinamento atmosferico (UFAM)	Air pollution control terminology (FOEN)
ALBI15	Punktuelle Einträge (A. Bieler, BAFU)	Fiches ponctuelles (A. Bieler, OFEV)	Schede puntuali (A. Bieler, UFAM)	Ad-hoc entries (A. Bieler, FOEN)
ALL09	Terminologie der Allianz Suisse	Terminologie d'Allianz Suisse	Terminologia dell'Allianz Suisse	EN: Terminologie der Allianz Suisse
